"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_RESPONSE_TO_VIRUS","GOBP_RESPONSE_TO_VIRUS",410,-0.53984770309764,-1.66908877317264,1.94364540549461e-07,0.00215064364117979,0.00206067331833071,1924,"tags=24%, list=11%, signal=22%","IL27/TRAF6/APOBEC3D/AUP1/TBX21/EIF5A/APOBEC3A/RNF135/RNF185/RRP1B/TRIM6/DHX9/EXOC1/NCBP3/RIGI/TLR3/ZMPSTE24/TANK/ITCH/ATF2/ATG5/IL12RB1/ADAR/MX1/IRF5/ITGB8/PPARA/CDK6/PPM1B/PSMA2/RPSA/TTC4/IFI6/LCN2/TRAF3IP3/ACTA2/POLR3B/FOXP3/ISG20/PIM2/GLI2/HIF1A/SIN3A/RHEB/DDX60L/PRF1/DHX58/TPT1/POLR3K/DDX56/CASP1/USP7/EEF1G/IFIT5/BECN1/TBK1/DMBT1/MAPK11/IRAK3/WDFY4/TRIM25/MX2/MOV10/UBE2N/ZC3HAV1/IRF2/MAVS/IFITM3/IFI16/PML/SMAD3/IFITM1/MLKL/ERCC6/TRIM21/IFIT3/PTPRC/TLR2/IRF7/IFIT1/GATA3/IKBKB/IFIT2/SETD2/FADD/DDX3X/MST1R/IRF1/NFKB1/RIPK3/CHUK/RAB2B/STMN1/OASL/MAPK14/ISG15/MYD88/RNASEL"
"GOCC_CYTOSOLIC_RIBOSOME","GOCC_CYTOSOLIC_RIBOSOME",115,-0.686631872643971,-1.85931534614474,6.26354807707104e-07,0.00346530797363955,0.00332033980169787,1069,"tags=50%, list=6%, signal=48%","RPL37/RPS8/RPL39L/RPSA/RPL24/RPL18/RPL29/RPL27A/RPL10A/RPS27L/RPL32/RPS4Y1/RPL36A/RPS10/RPL39/RPS4X/RPS3/RPLP0/RPL27/USP10/RPL15/RPL34/RPS25/RPL3/RPS23/RPL35A/RPS12/RPS3A/RPS19/RPL14/RPL38/RPL5/RPL13A/RPS6/GSPT1/RPS24/RPS13/RPL23A/RPS7/RPL30/DDX3X/RPS18/RPS20/RPL10/RPL7/RPS27/RPL6/RPL31/RPL11/RPL17/RPL26/RPL23/UBC/EEF1A1/RPS27A/RPL3L/RPL4/ISG15"
"GOBP_SYNCYTIUM_FORMATION","GOBP_SYNCYTIUM_FORMATION",104,-0.669033084488222,-1.78086521375198,7.0080697931817e-06,0.0193860730653889,0.0185750734097174,2284,"tags=45%, list=13%, signal=40%","RPL8/RPL37A/RPL7A/CD53/DOCK1/RPL41/DOCK2/RPL28/ADGRB3/CDON/TANC1/RPL35/GDF15/CACNA1S/CYP19A1/RPL37/RPL24/RPL18/RIPOR2/RPL29/RPL27A/RPL10A/RPL32/RPL36A/ERVW-1/RPL39/RPLP0/RPL27/RPL15/RPL34/RPL35A/RPL14/RPL38/RPL5/RPL13A/RPL23A/RPL30/RPL10/RPL7/RPL6/RPL31/RPL11/RPL17/RPL23/RPL3L/RPL4/MAPK14"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME","GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",158,-0.61950679254031,-1.75224108814737,5.94177180782494e-06,0.0193860730653889,0.0185750734097174,1202,"tags=52%, list=7%, signal=49%","MRPL22/RPS26/MRPS11/RPL28/MRPL1/RPS21/DAP3/RPS29/RPS28/RPL35/RPL22/MRPS6/RPL26L1/MRPS5/MRPL13/MRPL3/RPL22L1/MRPS25/RPL37/RPS8/RPL39L/RPSA/RSL24D1/MRPL11/RPL24/MRPS12/RPL18/RPL29/RPL27A/RPL10A/MRPL30/MRPS16/RPS27L/RPL32/RPS4Y1/RPL36A/MRPL36/RPS10/MRPL2/SRBD1/RPL39/RPS4X/RPS3/MRPS14/RPLP0/MRPL47/RPL27/RPL15/RPL34/RPS25/RPL3/RPS23/RPL35A/RPS12/RPS3A/RPS19/RPL14/RPL38/RPL5/RPL13A/RPS6/RPS24/RPS13/RPL23A/RPS7/RPL30/RPS18/RPS20/RPL10/RPL7/RPS27/RPL6/RPL31/RPL11/RPL17/RPL26/RPL23/UBC/RPS27A/RPL3L/RPL4/ISG15"
"GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION","GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION",71,-0.717589938276106,-1.81098819814134,1.37920206347946e-05,0.0292515831758902,0.0280278684089297,881,"tags=44%, list=5%, signal=42%","RPL37/RPL24/RPL18/RIPOR2/RPL29/RPL27A/RPL10A/RPL32/RPL36A/RPL39/RPLP0/RPL27/RPL15/RPL34/RPL35A/RPL14/RPL38/RPL5/RPL13A/RPL23A/RPL30/RPL10/RPL7/RPL6/RPL31/RPL11/RPL17/RPL23/RPL3L/RPL4/MAPK14"
"GOCC_RIBOSOME","GOCC_RIBOSOME",223,-0.567756068802195,-1.6631050851635,1.5861680890677e-05,0.0292515831758902,0.0280278684089297,1374,"tags=34%, list=8%, signal=32%","MRPS6/CHCHD1/RPL26L1/MRPS5/MRPL13/MRPL3/RPL22L1/MRPS25/RPL37/RPS8/RPL39L/RPSA/MRPL11/RPL24/MRPS12/RPL18/RPL29/RPL27A/RPL10A/MRPL30/MRPS16/RPS27L/RPL32/MRPS27/RPS4Y1/RPL36A/MRPL36/RPS10/MRPL2/RPL39/RPS4X/RPS3/MRPS14/RPLP0/MRPL47/RPL27/USP10/RPL15/RPL34/RPS25/RPL3/RPS23/RPL35A/RPS12/RPS3A/RPS19/RPL14/RPL38/RPL5/RPL13A/RPS6/GSPT1/RPS24/RPS13/RPL23A/RPS7/RPL30/DDX3X/RPS18/RPS20/RPL10/RPL7/RPS27/RPL6/RPL31/MRPL44/RPL11/RPL17/RPL26/RPL23/UBC/EEF1A1/RPS27A/RPL3L/RPL4/ISG15"
"GOBP_MYOBLAST_FUSION","GOBP_MYOBLAST_FUSION",89,-0.679083354600668,-1.77257806729437,2.30284334827476e-05,0.0339655699482045,0.0325446496081352,2284,"tags=52%, list=13%, signal=45%","RPL8/RPL37A/RPL7A/CD53/DOCK1/RPL41/DOCK2/RPL28/ADGRB3/CDON/TANC1/RPL35/GDF15/CACNA1S/RPL37/RPL24/RPL18/RIPOR2/RPL29/RPL27A/RPL10A/RPL32/RPL36A/ERVW-1/RPL39/RPLP0/RPL27/RPL15/RPL34/RPL35A/RPL14/RPL38/RPL5/RPL13A/RPL23A/RPL30/RPL10/RPL7/RPL6/RPL31/RPL11/RPL17/RPL23/RPL3L/RPL4/MAPK14"
"GOCC_RIBOSOMAL_SUBUNIT","GOCC_RIBOSOMAL_SUBUNIT",175,-0.589138176960908,-1.68771702103664,3.57439288308979e-05,0.0339655699482045,0.0325446496081352,2284,"tags=51%, list=13%, signal=45%","RPL8/RPL37A/RPL7A/MRPL39/MRPL43/MRPS28/RPL41/MRPS26/MRPL22/RPS26/MRPS11/RPL28/MRPL1/RPS21/DAP3/RPS29/RPS28/RPL35/RPL22/MRPS6/CHCHD1/RPL26L1/MRPS5/MRPL13/MRPL3/MRPS25/RPL37/RPS8/RPL39L/RPSA/MRPL11/RPL24/MRPS12/RPL18/RPL29/RPL27A/RPL10A/MRPL30/MRPS16/RPS27L/RPL32/MRPS27/RPS4Y1/RPL36A/MRPL36/RPS10/MRPL2/RPL39/RPS4X/RPS3/MRPS14/RPLP0/MRPL47/RPL27/RPL15/RPL34/RPS25/RPL3/RPS23/RPL35A/RPS12/RPS3A/RPS19/RPL14/RPL38/RPL5/RPL13A/RPS6/RPS24/RPS13/RPL23A/RPS7/RPL30/DDX3X/RPS18/RPS20/RPL10/RPL7/RPS27/RPL6/RPL31/MRPL44/RPL11/RPL17/RPL26/RPL23/RPS27A/RPL3L/RPL4"
"GOBP_PROTEIN_FOLDING","GOBP_PROTEIN_FOLDING",217,0.53897945144166,1.66087870732537,3.61846122812316e-05,0.0339655699482045,0.0325446496081352,1325,"tags=24%, list=7%, signal=22%","HSPA4/HSPA4L/TUBA1A/PPIC/HSP90B1/HSP90AA1/FKBP8/DNAJC7/RANBP2/HSPA9/HSPA5/CCT5/DNAJB4/DNAJB11/CWC27/AIFM1/HSPD1/DNAJB7/HYOU1/HSPA1A/PDIA2/PDIA6/HSPH1/PPIL2/PPIB/PDIA4/DNAJB12/DNAJC25/CD74/GAK/HSPA8/TXNDC5/DNAJB2/CLU/HSPA2/HSP90AB1/PFDN6/SNRNP70/P4HB/CCT6A/RUVBL2/CALR/SIL1/DNAJA1/HSPA14/DNAJC5/ZMYND10/PPIH/CHCHD4/CCT8L2/DNAJB14/HDAC4"
"GOCC_PROTEIN_DNA_COMPLEX","GOCC_PROTEIN_DNA_COMPLEX",195,-0.56680866505022,-1.64326871116185,3.683568363113e-05,0.0339655699482045,0.0325446496081352,1044,"tags=23%, list=6%, signal=21%","ACTL6A/H2AL3/NUPR1/H2AZ2/NFE2L2/SHPRH/SP3/H2BC13/RPA2/TERF2IP/TRRAP/KAT6B/NFYA/GTF2B/LEF1/DDIT3/MACROH2A1/H2BC18/H2AC13/MPHOSPH8/H2BW2/TERT/H2BC12L/H2AC7/H4C8/CENPA/XRCC5/RPA1/H2AC20/H2AZ1/KAT6A/POLR2H/RAG1/SP1/H2BC5/H3C4/CTNNB1/H3-5/H3C15/H3C14/H3-3B/PRKDC/H3C12/H3C13"
"GOBP_DEFENSE_RESPONSE_TO_VIRUS","GOBP_DEFENSE_RESPONSE_TO_VIRUS",314,-0.524396690924065,-1.59532406296744,3.16042199986069e-05,0.0339655699482045,0.0325446496081352,2506,"tags=27%, list=14%, signal=24%","DNAJC3/IRF9/AZU1/CRCP/LSM14A/PRKRA/DHX15/TREX1/CNOT7/MID2/RB1CC1/TRIM56/ATG7/TRIM65/NLRC5/IL27/TRAF6/APOBEC3D/APOBEC3A/RNF135/RNF185/TRIM6/DHX9/EXOC1/NCBP3/RIGI/TLR3/ZMPSTE24/TANK/ITCH/ATG5/IL12RB1/ADAR/MX1/IRF5/PPARA/PPM1B/RPSA/TTC4/IFI6/TRAF3IP3/POLR3B/FOXP3/ISG20/SIN3A/DDX60L/PRF1/DHX58/POLR3K/DDX56/CASP1/USP7/IFIT5/BECN1/TBK1/DMBT1/TRIM25/MX2/MOV10/UBE2N/ZC3HAV1/IRF2/MAVS/IFITM3/IFI16/PML/IFITM1/MLKL/ERCC6/TRIM21/IFIT3/PTPRC/TLR2/IRF7/IFIT1/IFIT2/SETD2/FADD/IRF1/RIPK3/RAB2B/OASL/ISG15/MYD88/RNASEL"
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE",478,-0.483095841384342,-1.51366236154592,2.66309975789322e-05,0.0339655699482045,0.0325446496081352,1845,"tags=25%, list=10%, signal=23%","SLAMF6/RPS6KA3/TREX1/CNOT7/PJA2/PIK3AP1/HLA-A/PIM1/TRIM56/TRIM65/NLRC5/KLRB1/KLRC1/CRK/ARG1/KLRK1/HLA-B/TRAF6/HLA-E/C1QTNF4/GFI1/TLR10/KLRD1/RNF135/RNF185/IRAK4/TRIM6/DHX9/YWHAZ/RIGI/TLR3/TLR1/ZDHHC5/ITCH/PAK2/HMGB1/ATG5/NAIP/PTPRS/CADM1/FCRL3/TXK/ADAR/IRF5/LAMP1/FFAR2/USP15/TYRO3/BIRC2/PAK3/CLEC7A/LTF/LAG3/PDPK1/MAP3K7/TRAF3IP3/METTL3/NFE2L2/PAK1/BTK/ERBIN/POLR3B/RNF125/DHX33/SIN3A/IPO5/DHX58/NOD2/CASP1/BECN1/TBK1/RALB/UBQLN1/IFI35/IRAK3/LYN/S100A8/TRIM25/LILRA4/PTPN1/TRAFD1/AURKB/TAX1BP1/ZC3HAV1/IRF2/MAPK8/LGR4/XRCC5/MAVS/IFI16/TLR4/RPS19/B2M/TRIM21/GRB2/TLR2/IRF7/IKBKB/CREBBP/TLR5/FYN/FADD/DDX3X/PPP2CA/IRF1/PUM1/CHUK/PUM2/HSPA1B/EP300/HEXIM1/PPP6C/CEACAM1/HMGB2/NFKBIA/OASL/AKIRIN2/PPARG/PRKDC/ISG15/MYD88"
