"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE",478,0.714056406091806,1.46986079691824,3.93313856473885e-16,4.33431869834221e-12,3.66651317150813e-12,3014,"tags=40%, list=17%, signal=34%","AKIRIN2/NFKBIA/FADD/MYD88/PRKDC/HSPA8/TLR2/OASL/HMGB2/SYK/GRB2/LYN/RALB/IRAK3/TLR4/FYN/ISG15/TLR5/IRF1/S100A9/PPARG/CASP8/AKT1/FGR/CHUK/CREBBP/IRF2/BIRC3/TLR8/HCK/ARRB2/STAT5B/IRAK2/EP300/HSPA1A/HEXIM1/ZC3HAV1/CRK/HSPD1/IPO5/CEACAM1/TRIM25/BECN1/BTK/IFI16/PTPN1/RIGI/HSP90AA1/PCBP2/CASP1/PARP1/TRAFD1/TRIM21/PAK1/TBK1/S100A8/LAMP1/IFI35/DDX60/DNAJA3/TLR1/PAK2/IKBKB/PTPN6/ARG1/RASGRP1/B2M/USP15/NCF1/HSP90B1/UFD1/GFI1/DDX3X/IFIH1/XRCC6/PPP6C/ZDHHC5/TLR7/RPS19/DHX58/STAT5A/IRF4/CLEC4E/UBQLN1/GDI1/NFE2L2/PUM2/RNF125/PUM1/LAMP2/TLR6/MFHAS1/TAX1BP1/PDPK1/ESR1/STAT2/MAPK8/MATR3/VAV1/IRF5/IRF7/TRAF6/NFKBIZ/DHX33/IRAK4/SLAMF6/LILRA2/PIK3R1/TRAF3/RNF185/RBM47/MEFV/TRIM32/RASGRP4/LGR4/POLR3C/PRKCE/C1QBP/WDFY1/SLAMF8/TXK/NOD2/RTN4/TRIM5/KLRK1/RIPK2/ERBIN/CD226/PTPN11/ITCH/NLRP3/MAPKAPK2/AP1G1/INPP5D/TOMM70/MED1/LRCH4/PLCG2/MAP2K6/YWHAE/EIF2AK2/NAIP/PIK3AP1/FCRL3/ADAR/APPL2/BRCC3/CFP/BIRC2/TNFAIP3/YTHDF2/PYDC1/HLA-C/AURKB/HLA-E/TLR10/PVR/XRCC5/SLC15A4/USP18/TRIM41/FPR2/AP3B1/FFAR2/ATG5/CTSS/PHB1/TNIP2/PYHIN1/HLA-B/KAT5/TRAF3IP3/F2RL1/TRIM6/NLRC3/TNF/RNF135/LATS2/LYAR/SAMHD1/CEP63/SH2D1A/GBP2/BCL10/CLEC6A/CR1/VSIG4/GPS2/CARD8/LGALS9/CSNK1A1"
"GOBP_REGULATION_OF_HEMOPOIESIS","GOBP_REGULATION_OF_HEMOPOIESIS",429,0.716643155036402,1.47435393642252,1.80597290065773e-14,9.95091068262411e-11,8.417734741171e-11,2112,"tags=31%, list=12%, signal=28%","NFKBIA/MAPK14/RHOA/HCLS1/FADD/PRKDC/HSPA9/NEDD9/LCK/ACTL6B/JAG1/STAT3/FOS/HMGB2/PRKCZ/SYK/CTNNB1/LYN/CDK6/ACTB/FOXO3/TLR4/ACVR1B/BCL6/ISG15/ACTL6A/RIPK1/DROSHA/TGFBR2/PRMT6/IRF1/AXL/RHOH/CASP8/GATA3/ZBTB16/SMARCD3/CD2/BRD4/JAK3/STAT5B/TRIB1/CD4/NOTCH2/LOX/EP300/HSPA1A/CEACAM1/RARA/BTK/IL4R/CDKN2A/PTK2B/SOS2/CSF3R/CORO1C/PTPN6/ZAP70/RASGRP1/B2M/SOD1/H4C8/PTPRC/PSMB8/CEBPB/ETS1/XRCC6/MEF2C/STAT5A/IRF4/ZFP36/LEF1/TFE3/STAT1/ACIN1/PSMA3/LILRB2/LEO1/RC3H1/PSMA4/CAMK4/KAT6A/PSMA6/IRF7/PSMA5/RAG1/CUL4A/TRAF6/HIF1A/NFKBIZ/BRAF/GAS6/RCOR1/PIK3R1/PSMB1/TCF7/MYB/ARNT/SLAMF8/FES/GLUL/MALT1/CD101/SOCS1/RIPK2/PCID2/H4C16/NFKBID/PSMB2/NLRP3/EGR3/CD69/INPP5D/GATA2/MED1/TBX21/ADA/PAF1/PPP3CA/PRDM1/RARG/KAT6B/PBRM1/AGER/CCR2/CCR1/FANCA/FCRL3/TNFAIP6/ZMIZ1/HMGB3/IL12RB1/IL4/OPA1"
"GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY",367,0.722958388319412,1.48454086278587,3.35924295438138e-14,1.23396191190943e-10,1.04384054750882e-10,3539,"tags=47%, list=20%, signal=38%","NFKBIA/MAPK1/MYD88/LCK/NFKB1/TLR2/SYK/CD3D/GRB2/LYN/LCP2/TLR4/FYN/TLR5/AKT1/GATA3/FGR/CHUK/CREBBP/BMX/PRNP/PRKCD/ITK/HCK/CD4/IRAK2/UBE2N/EP300/CEACAM1/BTK/FOSL2/PSEN1/PAK1/TBK1/IFI35/TLR1/RABGEF1/ITGAM/PAK2/IKBKB/PTPN6/DUSP22/ZAP70/DUSP3/FCER1A/PTPRC/PRKCB/PRKCH/BCAR1/FCGR1A/BCL2/PRKCQ/MEF2C/EIF2B3/CLEC4E/CBL/LILRB2/RC3H1/TLR6/MFHAS1/TAX1BP1/MAPK8/VAV1/UBR2/BTRC/TRAF6/NFKBIZ/BRAF/IRAK4/NCK1/LILRA2/PIK3R1/TRAF3/LPXN/PLEKHA1/TRIM32/PRKCE/WDFY1/TXK/LILRB5/BLK/MALT1/EZR/KLRK1/PLCG1/RIPK2/PTK2/CD226/MAP3K1/PTPN11/NFKBID/CD22/INPP5D/RNF31/FER/CD247/ADA/CR2/PLCG2/PTPRJ/PIK3CD/PIK3AP1/SLA2/CD200R1/FCRL3/LIMK1/APPL2/NFATC2/BTN2A1/CBLB/LIPA/CLEC2B/FOXP3/TNFAIP3/LILRA1/CSK/BTN3A1/BTN3A3/FPR2/MAP2K4/RAP1A/TEC/FFAR2/BLNK/CD80/TNIP2/VAV3/F2RL1/CARD11/MAP2K7/CD2AP/CD33/RBCK1/CLEC4D/SH2D1A/BCL10/CLEC6A/FGL1/PSG9/CR1/PDE4B/GPS2/BTNL8/LGALS9/C5AR1/CCR7/HLA-DRB1/CTLA4/KIT/LILRA4/YES1/FPR1/CLEC7A/PLSCR1/PIK3CA/CD72/CD300A/CD36/CD8A/APPL1/PLCL2/HLA-A/FCN1/C5AR2/RC3H2/MICB/LILRB4/CD28/ICOSLG/PRKD2/KLRD1/CLEC2D"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",423,0.712651193185359,1.46532374354212,1.30235719656098e-13,3.5879940765255e-10,3.03517771914317e-10,3131,"tags=41%, list=18%, signal=35%","AKIRIN2/NFKBIA/FADD/MYD88/PRKDC/HSPA8/TLR2/OASL/HMGB2/SYK/LYN/RALB/IRAK3/TLR4/FYN/TLR5/IRF1/S100A9/AKT1/CHUK/CREBBP/IRF2/BIRC3/TLR8/HCK/ARRB2/STAT5B/IRAK2/EP300/HSPA1A/HEXIM1/ZC3HAV1/HSPD1/IPO5/TRIM25/BECN1/BTK/IFI16/RIGI/HSP90AA1/PCBP2/CASP1/PARP1/PAK1/TBK1/S100A8/LAMP1/IFI35/DDX60/TLR1/PAK2/IKBKB/ARG1/RASGRP1/USP15/HSP90B1/UFD1/GFI1/DDX3X/IFIH1/XRCC6/YWHAG/PPP6C/ZDHHC5/TLR7/RPS19/DHX58/STAT5A/IRF4/CLEC4E/UBQLN1/GDI1/PUM2/RNF125/PUM1/LAMP2/TLR6/MFHAS1/TAX1BP1/PDPK1/ESR1/MAPK8/MATR3/VAV1/IRF5/IRF7/TRAF6/NFKBIZ/DHX33/IRAK4/SLAMF6/LILRA2/PIK3R1/TRAF3/RNF185/RBM47/MEFV/TRIM32/RASGRP4/LGR4/POLR3C/PRKCE/C1QBP/WDFY1/TXK/NOD2/RTN4/TRIM5/KLRK1/RIPK2/ERBIN/CD226/PTPN11/ITCH/NLRP3/MAPKAPK2/AP1G1/TOMM70/MED1/LRCH4/PLCG2/MAP2K6/YWHAE/EIF2AK2/NAIP/PIK3AP1/FCRL3/APPL2/BRCC3/CFP/BIRC2/FBXO38/TNFAIP3/PYDC1/HLA-C/AURKB/HLA-E/TLR10/PVR/XRCC5/SLC15A4/TRIM41/FPR2/AP3B1/FFAR2/CTSS/PHB1/TNIP2/PYHIN1/KAT5/TRAF3IP3/KLK3/F2RL1/TRIM6/NLRC3/TNF/RNF135/PRKCA/LATS2/SH2D1A/GBP2/BCL10/CLEC6A/GPS2/CARD8/LGALS9/CSNK1A1/PYCARD/HLA-DRB1/NLRP1/RPS6KA3/LILRA4/DHX9/FOSL1"
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE",432,0.702629263387167,1.44608053264728,2.21487987242516e-13,4.88159523882505e-10,4.12946866319941e-10,2812,"tags=28%, list=16%, signal=24%","NFKBIA/MAPK14/MAPK1/MYD88/MAPK13/MAPK3/STAT3/NFKB1/TLR2/LRRK2/SYK/LYN/IL1R2/TLR4/FYN/BCL6/RIPK1/DROSHA/S100A12/S100A9/PPARG/GATA3/FGR/SMAD3/JAK2/BIRC3/F12/PRKCD/BRD4/HCK/STAT5B/CD4/BTK/IFI16/CASP1/S100A8/CUL1/IFI35/RABGEF1/PTPN6/SOD1/VAMP3/CYP19A1/NCF1/PTPRC/CEBPB/ETS1/SPN/SIRPA/FCGR1A/VPS35/ALOX5/ZDHHC5/TLR7/RPS19/CX3CL1/STAT5A/AREL1/TNFRSF1A/CASP4/MMP9/GZMK/TLR6/MFHAS1/PSMA6/ESR1/KLF4/NFKBIZ/HGF/UFL1/MEFV/MAP3K8/ARNT/SLAMF8/NOD2/PLCG1/NLRP3/CD69/KARS1/VAMP2/IL16/ADA/PLCG2/ABCC1/NAIP/AGER/CCR2/CCR1/IL17RA/RBX1/PIK3AP1/CD200R1/FANCA/TNFAIP6/SOCS3/IL4/IL1R1/BIRC2/FOXP3/TNFAIP3/NR1D2/PRKAR1A/HLA-E/GPSM3/USP18/STK39/FPR2/GBA1/NLRP12/FFAR2/CASP3/SELE/PSMA1/ALOX15/VAMP8/LRFN5/RORA/TEK/CLEC12A/NLRC3/TNF/RICTOR"
"GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS",245,0.753296286330679,1.54463051704131,5.84964048477506e-13,1.07438396903702e-09,9.08849405845052e-10,1913,"tags=31%, list=11%, signal=28%","NFKBIA/MAPK14/MAPK1/RHOA/TP53/MYD88/MAPK3/GSK3B/NFKB1/TLR2/HMGB2/SYK/LYN/HSPA5/CDK4/IRAK3/TLR4/AXL/AKT1/SMAD3/JAK2/APAF1/HCK/TRIB1/NOTCH2/IRAK2/RARA/BTK/DDIT3/CASP1/VIM/TLR1/PTPN6/UPF1/B2M/NOTCH1/CD6/CEBPB/SIRPA/GFI1/HDAC5/CD55/MEF2C/CX3CL1/ZFP36/ABCA1/MMP9/LILRB2/TLR6/MAPK8/IRF5/TRAF6/NFKBIZ/IRF8/IRAK4/LILRA2/LITAF/GSK3A/PRKCE/NOD2/MALT1/TRIM5/KLRK1/RIPK2/AICDA/PTPN11/KMO/NLRP3/HADHB/CHMP5/CARD16/PAF1/PLCG2/MTDH/CDK19"
"HP_ABNORMAL_LEUKOCYTE_COUNT","HP_ABNORMAL_LEUKOCYTE_COUNT",485,0.684812137863989,1.40972053156426,1.79828347262511e-12,2.83101198118981e-09,2.39482683211548e-09,3111,"tags=41%, list=18%, signal=35%","NFKBIA/CHD7/TP53/MYD88/PRKDC/STAT3/SYK/CD3D/LYN/PTEN/LCP2/RIPK1/JAK1/IRF1/ZBTB16/JAK2/TLR8/KRAS/PRKCD/JAK3/ITK/UBE2T/EFL1/STAT5B/BRCA1/RPS20/RARA/BTK/NPM1/NRAS/UBE2A/FNIP1/BCL11B/CSF3R/TBK1/MAP2K1/RPL15/PRDX1/ITGAM/STAT6/WAS/IKBKB/PTPN6/ZAP70/RPL5/B2M/RPL26/NOTCH1/TBXAS1/PTPRC/ETS1/NR3C1/RAD51/GFI1/IFIH1/RPS14/PPIL1/HSCB/FASLG/TLR7/RPS19/RPS27/SF3B1/RPL11/RPA1/PML/RPL31/DLL4/IRF4/RBPJ/RPS7/PALB2/CBL/FLT3LG/RPS24/STAT1/TNFRSF1A/IKZF1/STX11/AK2/STAT4/HTRA2/CXCR4/KIAA0319L/HELLS/BCOR/SAMD9L/RAD51C/STAT2/TARS1/CASK/SKIC2/IARS2/IRF5/RAG1/RPS15A/CALR/BRAF/IRF8/IRAK4/ETV6/STN1/SRP68/PIK3R1/TRAF3/RPL27/MEFV/AARS1/RPS10/CTPS1/RPL35/CDCA7/ATP11A/BLK/SAMD9/MALT1/MSN/ZBTB24/MTHFD1/NAE1/ITCH/NLRP3/RPL35A/FANCM/RNF31/GATA2/USP48/TBX21/CD247/GTF2H5/ADA/CR2/G6PD/ACAT1/COPG1/SAT1/PIK3CD/RRAS2/FH/DOCK2/FANCA/SP110/CBLB/IFNGR1/RPS29/TBX2/IVNS1ABP/LIPA/RFX5/IVD/PIK3CG/FOXP3/TNFAIP3/TINF2/PRKAR1A/TPP2/NFKB2/RPL18/SKIC3/LBR/AP3B1/DKC1/MECP2/GBA1/SBDS/ANAPC1/NLRP12/RELB/CARS1/TFRC/BLNK/ERCC4/NOP10/CARD11/MYSM1/EIF2AK3/CD40LG/IPO8/RBCK1/RUNX1/STXBP2/NBN/SH2D1A/DOCK8/NAF1/WDR1/ZNF341/ITGB2/STK4/ERCC6L2/PSMB9/ELF4/LPIN2/HLA-DRB1/CTLA4/NLRP1/KIT/SMARCAL1/FAS"
"GOBP_RESPONSE_TO_VIRUS","GOBP_RESPONSE_TO_VIRUS",409,0.699671951239485,1.43801224666992,2.8980398554468e-12,3.99204990087797e-09,3.37697907366275e-09,3217,"tags=40%, list=18%, signal=33%","RNASEL/MAPK14/FADD/MYD88/NFKB1/TLR2/OASL/DDX21/CDK6/IRAK3/ISG15/DDX1/IRF1/GATA3/RPSA/FGR/CHUK/STMN1/SMAD3/RIPK3/IRF2/TLR8/ATG7/RRP1B/ENO1/UBE2N/ZC3HAV1/RAB2B/TRIM25/CCT5/BECN1/G3BP1/IFI16/RIGI/IFIT5/HSP90AA1/DHX16/PCBP2/CASP1/IFIT2/DHX36/TRIM21/ARF1/TRIM27/TBK1/MLKL/DDX60/IFIT1/BCL3/IFIT3/IKBKB/VAPB/MOV10/TTC4/PTPRC/SPN/DNAJC3/MX1/DDX3X/IFIH1/BCL2/MX2/TLR7/IFNAR2/SMARCA5/WDFY4/DHX58/PML/IFITM1/STAT1/POLR3A/CXCR4/USP7/STAT2/TANK/DDX60L/IRF5/IRF7/ISG20/TRAF6/ILF3/RPS15A/CALR/HIF1A/NFKBIZ/IFI44/NCK1/TRIM22/IFI6/NCBP1/TRAF3/RNF185/TRIM32/DHX15/POLR3C/C1QBP/EEF1G/TRIM5/PPM1B/AICDA/ITCH/RHEB/NLRP3/TOMM70/TBX21/ITGAX/IFNLR1/NCBP3/EIF2AK2/DCLK1/IL17RA/ADAR/DDX17/IL12RB1/IFNGR1/IVNS1ABP/FOXP3/TNFAIP3/IL27/TRIM38/EXOC1/USP18/CRCP/TRIM41/IFNGR2/EIF5A/IFI27/CHMP3/ATG5/PHB1/DTX3L/TPT1/PIM2/VAMP8/BATF3/TRAF3IP3/ZMPSTE24/F2RL1/CD2AP/TRIM6/TNF/RNF135/SAMHD1/SETD2/TRIM35/APOBEC3B/GBP2/CARD8/EIF2AK4/LGALS9/PYCARD/NLRP1/TRAF3IP1/TRIM8/TRIM44/DHX9/FOSL1/HERC5/IFI44L/NLRC5/AUP1/AKAP1/CFL1"
"GOBP_MYELOID_CELL_DIFFERENTIATION","GOBP_MYELOID_CELL_DIFFERENTIATION",462,0.693179848263419,1.42666523691988,3.79354615943375e-12,4.64498651966221e-09,3.92931517987664e-09,2719,"tags=34%, list=15%, signal=29%","NFKBIA/MAPK14/HCLS1/RAC1/FADD/MYD88/PRKDC/HSPA9/NEDD9/JAG1/STAT3/TLR2/FOS/HMGB2/CTNNB1/LYN/IL1R2/CDK6/FOXO3/TLR4/ACVR1B/BCL6/ISG15/RIPK1/CDC42/TGFBR2/PRMT6/PPARG/CASP8/GATA3/ZBTB16/JAK2/ATP5IF1/STAT5B/TRIB1/KAT8/CD4/NOTCH2/LOX/EP300/HSPA1A/EPHA2/CEACAM1/RARA/IFI16/NPM1/FOSL2/PTK2B/PARP1/PSEN1/TGFBR3/CSF3R/CFLAR/CORO1C/ACTN1/PTPN6/EPAS1/B2M/H4C8/CEBPB/ETS1/NR3C1/RPS14/HSCB/RPS19/MEF2C/PML/STAT5A/IRF4/ZFP36/CASP9/RBPJ/PKNOX1/LEF1/TFE3/STAT1/ACIN1/MMP9/IKZF1/LEO1/CAMK4/MFHAS1/KAT6A/ARID4A/IRF7/CUL4A/TRAF6/HIF1A/IRF8/SLC25A5/SP3/SFXN1/RCOR1/BATF2/PIK3R1/TPM4/UFL1/MYB/TCEA1/RASGRP4/ARNT/FES/CBFA2T3/GLUL/CD101/SOCS1/MYH9/H4C16/PTPN11/OSCAR/INPP5D/CHMP5/GATA2/MED1/JMJD6/PAF1/PPP3CA/G6PD/RARG/PTPRJ/CCR1/FLI1/PIK3CD/ANXA2/ADAR/TNFAIP6/HMGB3/IL4/WASF2/LIPA/KCNQ1/THOC5/RXRA/UBA5/ZFP36L1/ABI1/LBR/CREB1/ABCB10/AP3B1/UBASH3B/MAEA/CLEC5A/GBA1/MITF/RELB/TFRC/CASP3/BMP2/NCOA6/CSF1R/IREB2/CDKN2B/BATF3/F2RL1"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE","GOBP_ADAPTIVE_IMMUNE_RESPONSE",490,0.683693445439782,1.40728397231685,5.10782195020825e-12,5.6288197891295e-09,4.76156538853098e-09,3561,"tags=42%, list=20%, signal=34%","AKIRIN2/FADD/MYD88/MAPK3/JAG1/STAT3/PRKCZ/SYK/CD3D/LYN/TLR4/FYN/BCL6/JAK1/IRF1/NSD2/GATA3/ZBTB16/RIPK3/JAK2/BMX/TLR8/PRKCD/BRD4/JAK3/ITK/CD4/EP300/HSPD1/CEACAM1/BTK/PDIA3/PTK2B/STAT6/BCL3/WAS/PTPN6/DUSP22/ZAP70/ARG1/B2M/NOTCH1/FCER1A/CD6/PTPRC/PSMB8/PRKCB/SPN/SLAMF7/TAP1/MSH2/FCGR1A/YWHAG/CD55/EOMES/PRKCQ/MEF2C/STAT5A/IRF4/LEF1/TFE3/RNF125/C1QA/PSMA3/LILRB2/STAT4/RC3H1/PSMA4/CAMK4/C1QB/PSMA6/IRF7/PSMA5/RAG1/STX7/C1R/TRAF6/NFKBIZ/GNL1/ADAM17/SLAMF6/C1RL/UFL1/PSMB1/C1QBP/TXK/NOD2/CD244/LILRB5/PCYT1A/TAP2/LY9/MALT1/KLRK1/RIPK2/CD226/AICDA/NFKBID/PSMB2/NLRP3/DBNL/CD69/HLA-DOB/INPP5D/TBX21/CD247/ADA/CR2/CD84/PRDM1/HLA-DMB/AGER/TFEB/CCR2/IL17RA/PIK3CD/SLA2/CLEC10A/SOCS3/IL12RB1/IL4/OPA1/IL1R1/FBXO38/PIK3CG/FOXP3/TNFAIP3/ZBTB7B/IL27/SUPT6H/HLA-C/SLC11A1/LILRA1/CSK/NFKB2/HLA-E/RNF8/HLX/PVR/SLC15A4/PLA2G4A/BTN3A1/BTN3A3/EPHB2/TEC/RELB/TFRC/CTSS/ZBTB1/PHB1/HPRT1/CD80/USP5/PSMA1/ALOX15/HLA-B/CTSL/CD46/CRACR2A/SAMSN1/RORA/CD40LG/TNF/NBN/CLEC4D/SH2D1A/BCL10/CLEC6A/FGL1/PSG9/CR1/EIF2AK4/BTNL8/LGALS9/PYCARD/PSMB9/HLA-DRB1/C2/CTLA4/MLH1/JCHAIN/RNF19B/CLEC4C/CLEC7A/PAG1/TCIRG1/PSMA2/CD8A/HLA-A/IL10/ARID5A/RC3H2/TREX1/MICB/LILRB4/CCR6/CLEC4A/BACH2/CD28/ICOSLG/PRKD2/KLRD1/TNFSF13B/FCMR"
