"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",195,0.70659297403691,1.44715099983586,6.4282952944041e-07,3.21414764720205e-05,1.75932292267902e-05,2295,"tags=31%, list=13%, signal=27%","NFKBIA/JAG1/KDM6B/FOS/TLR2/NFKB1/RHOB/IRS2/KLF6/DUSP1/BCL6/IRF1/TRIB1/SMAD3/PLAU/FOSL2/PTPRE/BIRC3/BCL3/CEBPB/CFLAR/NFIL3/PPP1R15A/MCL1/ZFP36/STAT5A/ETS2/KLF9/NFE2L2/JUN/SLC2A3/TAP1/PLPP3/TANK/SIK1/MAP3K8/DUSP5/PFKFB3/LITAF/ABCA1/CD69/IFIT2/NFKBIE/RIGI/CEBPD/BCL2A1/FOSL1/SOCS3/KLF4/CD44/BMP2/SAT1/TRAF1/TNFAIP3/TNFAIP6/ZBTB10/IFNGR2/EGR3/BIRC2/FOSB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",197,0.700048587536956,1.4331821767285,3.11268470719906e-06,7.78171176799766e-05,4.25946328353556e-05,3161,"tags=40%, list=18%, signal=33%","NFKBIA/MYD88/STAT3/NFKB1/RIPK1/LCP2/IRF1/CASP8/IRF2/IL4R/TRIM25/OASL/CASP1/PTPN6/TRIM21/TRAFD1/PTPN1/JAK2/FCGR1A/UBE2L6/B2M/IFNAR2/TAPBP/GZMA/CASP4/C1R/STAT4/PSMB8/TAP1/EIF4E3/IFI35/MX2/ISG20/RNF213/CD69/IFIT2/PML/RIGI/ARL4A/RNF31/IRF5/SOCS3/PSMA3/SLAMF7/KLRK1/BATF2/DHX58/IRF8/SOCS1/STAT2/TNFAIP3/TNFAIP6/HLA-B/HIF1A/DDX60/ADAR/ARID5B/PLA2G4A/C1S/PDE4B/SAMD9L/SP110/NUP93/FAS/STAT1/IFIT3/VAMP8/LATS2/RBCK1/ITGB7/CFB/TDRD7/FPR1/PSMA2/NLRC5/IFIH1/HLA-A/TNFAIP2/MX1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",198,0.693573823760921,1.41969891643927,6.67087688180872e-06,0.000111181281363479,6.08571224305357e-05,2910,"tags=40%, list=16%, signal=34%","HCLS1/TLR2/LCK/LYN/CD3D/LCP2/AKT1/MRPL3/FGR/CDKN2A/IL4R/CD2/NPM1/ITK/UBE2N/CD4/BCL3/WAS/BRCA1/TLR1/PTPN6/IKBKB/PTPRC/ZAP70/EIF4G3/JAK2/PRKCB/ETS1/ABCE1/B2M/NCF4/IFNAR2/TAPBP/GZMA/STAT4/RPS19/NME1/FASLG/TLR6/MTIF2/MMP9/TAP1/NLRP3/NCK1/RPS3A/RPL39/INHBB/APBB1/IL16/TAP2/CCND3/CD247/IL4/AARS1/IRF8/SOCS1/CFP/IFNGR2/IFNGR1/ABI1/HIF1A/CCR2/CSK/HLA-E/CD80/UBE2D1/CTSS/EIF3A/ITGB2/CCR5/GBP2/BCL10/FAS/STAT1/CCND2/CCR1/ELF4/DARS1/RARS1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,0.750729246231956,1.51611198785893,9.57477150968943e-06,0.000119684643871118,6.55115945399803e-05,2478,"tags=47%, list=14%, signal=40%","MAPK1/RAC1/MYD88/RAF1/LCK/GRB2/SLA/RALB/GSK3B/RIPK1/PTEN/CDK4/AKT1/YWHAB/CDK1/UBE2D3/UBE2N/ARF1/TIAM1/RIT1/DDIT3/DUSP3/PRKCB/EIF4E/CLTC/TNFRSF1A/TBK1/FASLG/CXCR4/CAMK4/RPS6KA1/NCK1/IRAK4/MAPK8/CALR/ACTR3/IL4/MAP2K6/STAT2/DAPP1/PLCG1/CSNK2B/MKNK1/PPP2R1B/NFKBIB/CAB39/VAV3/PIK3R3"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,0.762212534654755,1.53589993230535,1.95446799699299e-05,0.000195446799699299,0.000106981406151195,2150,"tags=29%, list=12%, signal=25%","MYD88/STAT3/TLR2/GRB2/IL1R2/ACVR1B/IRF1/TYK2/IL4R/CSF3R/PTPN1/ACVRL1/CBL/TNFRSF1A/JUN/MAP3K8/SOCS3/CD44/IL17RA/SOCS1/STAT2/IL1R1/STAM2/IFNGR2/IFNGR1"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,0.679549970627154,1.39064450212517,2.44344594715987e-05,0.000203620495596656,0.000111455429168696,2770,"tags=38%, list=15%, signal=33%","HSPA9/TUBA4A/SLA/PSMD14/GSK3B/EPRS1/RDH11/PPIA/GAPDH/PGK1/CCT6A/HSPA5/CANX/UBE2D3/ENO1/CYB5B/RIT1/DDIT3/NFIL3/PSMC2/PPP1R15A/HSPD1/HMGCR/GSR/GOT1/HK2/PGM1/ABCF2/LDHA/TBK1/PSMC6/SLC2A3/RPA1/ATP2A2/NFYC/CXCR4/PRDX1/TCEA1/STIP1/NUFIP1/PSME3/TXNRD1/GLRX/LTA4H/RPN1/RAB1A/CALR/ACTR3/ELOVL5/CCNG1/G6PD/PSMA4/IDH1/PSMA3/NIBAN1/SHMT2/PNO1/CFP/NUP205/ERO1A/DAPP1/HPRT1/GMPS/TES/IMMT/NFKBIB/CTH/TFRC/PIK3R3/EEF1E1/YKT6/ITGB2/GBE1/CORO1A/IFRD1/GPI"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",196,0.681419381696046,1.3950031673782,3.11501758481462e-05,0.000222501256058187,0.000121790161210797,2174,"tags=21%, list=12%, signal=19%","NFKBIA/RAF1/TLR2/NFKB1/LCK/LYN/KLF6/LCP2/ACVR1B/IRF1/RHOG/IL4R/SELL/AQP9/IRAK2/PTPRE/PSEN1/TLR1/CSF3R/CD55/CX3CL1/RASGRP1/CD48/TAPBP/ATP2A2/MEFV/NLRP3/ITGA5/NOD2/ABCA1/CD69/KIF1B/IFITM1/SEMA4D/SLC7A1/GNAI3/IL1R1/TNFAIP6/IFNGR2/SLC31A2/ABI1/HIF1A"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",197,0.680400376470494,1.39295716034196,4.46202127682067e-05,0.000278876329801292,0.000152648096312286,2984,"tags=35%, list=17%, signal=30%","RAF1/LCK/GRB2/LYN/FYN/GATA3/LCP2/S100A9/IRF1/DOCK4/S100A12/PRKCD/RHOG/IRF2/HSPA1A/HSPA5/PCSK9/PPP4C/HNF4A/WAS/CASP1/PSEN1/CEBPB/DYRK2/ITGAM/USP15/CD55/RASGRP1/JAK2/CASP9/GNAI2/GNB2/GZMA/CASP4/C1R/USP14/GZMK/LAMP2/STX4/DUSP5/LTA4H/ACTN2/F5/RABIF/CBLB/DPP4/GNAI3/CTSD/SERPINA1/TNFAIP3/COL4A2/PDP1/CTSS/LIPA/ITIH1/BRPF3/PLA2G4A/ANXA5/CR1/C1S/DUSP6/PIK3CG/CALM1/CD46/FDX1/TIMP2/CFB/CASP5/CD36"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,0.659411099150745,1.34943191716718,0.000200653101527902,0.00111473945293279,0.000610173174236894,2636,"tags=48%, list=15%, signal=42%","HSP90AB1/PSMD14/HNRNPC/SRPK1/EPRS1/KPNB1/CDK4/DDX21/PPIA/CCT3/PGK1/YWHAQ/CCT2/DDX18/RPLP0/HNRNPA1/NPM1/EIF4A1/CANX/RPS3/G3BP1/RPL6/CCT4/PCBP1/RPS6/RPL14/SF3B3/PA2G4/UBA2/BUB3/EIF2S1/HSPD1/GNL3/NOLC1/ABCE1/RACK1/RSL1D1/GOT2/XRCC6/EIF4E/RAD23B/NAP1L1/LDHA/MAD2L1/PSMC6/RPL34/NME1/RAN/SNRPD2/VDAC1/CCT5/CSTF2/TRA2B/CCT7/POLE3/PSMD1/DHX15/RPS10/PSMA6/FBL/PWP1/U2AF1/C1QBP/IARS1/APEX1/SERBP1/EIF4G2/NCBP1/GSPT1/CTPS1/PSMA4/SNRPG/TOMM70/SF3A1/NOP56/MRPL9/PABPC4/RPL22/SYNCRIP/SNRPD1/HPRT1/CLNS1A/CNBP/ILF2/RANBP1/HNRNPR/FAM120A/EEF1B2/ACP1/MCM6/KARS1/RFC4/PCNA/NHP2/CBX3/RRM1"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",158,0.670664065104847,1.37055073508503,0.000362638317125986,0.00181319158562993,0.000992483815292172,2190,"tags=31%, list=12%, signal=27%","RNASEL/NEDD9/CTNNB1/RHOB/HMGB2/IRF1/CREBBP/CASP8/CD2/ROCK1/RARA/WEE1/BIRC3/CASP1/BRCA1/PSEN1/DDIT3/PAK1/TGFBR3/CFLAR/SOD1/DNAJC3/MCL1/CASP9/GSR/CASP4/LEF1/FASLG/JUN/ENO2/TAP1/CAV1/ISG20/IGF2R/CD69/VDAC2/PEA15/GPX3/CASP2/CD44/DAP3/BMP2/SAT1/CDC25B/PPP3R1/HGF/PTK2/IFNGR1/EGR3"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",155,0.667883248993548,1.36291905139862,0.000820537282458474,0.00341890534357698,0.00187140081964213,2521,"tags=31%, list=14%, signal=27%","NFKBIA/TUBA4A/FOS/RHOB/LYN/DDX21/IRF1/PRKACA/PRKCD/NTRK3/ARRB2/CYB5B/ABCB1/RASGRP1/AGO2/PPIF/MAOA/MARK2/SPR/NXF1/ENO2/AQP3/TAP1/HSPA2/STIP1/POLE3/HSPA13/FKBP4/DLG4/RPN1/ACAA1/TARS1/GPX3/CCND3/BMP2/ATP6V1C1/TGFBRAP1/PRPF3/ALAS1/MSX1/FOSB/SLC25A4/RXRB/TFRC/CYP1A1/RFC4/NUP58/YKT6"
