"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",451,0.681363713466626,1.74673012618476,9.32880600665614e-16,1.03297868911703e-11,8.64436623964148e-12,2420,"tags=39%, list=13%, signal=34%","CUL1/EGFR/CDC20/EZH2/CCNB1/FOXM1/NES/BIRC5/CCNB2/MYC/PLK1/CDK1/CDK4/TP53/RHOU/KIF14/AURKA/TRIP13/AURKB/PTEN/CDK6/RAB11A/PRKDC/TICRR/ACTL6B/BUB1/MRNIP/CUL3/PPP3CA/CDKN3/BRCA1/ORC1/CDCA8/PPP6C/ANLN/UBD/PSMB2/CHEK1/BUB1B/CCNF/CHEK2/RBBP8/ACVR1B/NDC80/CDK14/UBE2C/DUSP1/MYB/KNL1/PSMA3/PPM1D/PSMA5/UBE2E2/CDC6/WEE1/CDC27/PPP2R2D/PSMA4/DDB1/PIM2/BLM/ABCB1/CDKN2B/RRM2/MAD2L1/KLF4/CCNI2/MELK/CCNE1/CCNG2/ACTB/SMARCD3/UBE2S/HECW2/AMBRA1/FBXO7/ACTL6A/CALM2/ESPL1/CCNA2/NUF2/BCL2/RAD21/PBRM1/UIMC1/CENPE/SKP1/CDC23/GTPBP4/SMARCA2/CDC14B/RRM1/DYNLT1/RAD51C/CACUL1/ATR/INO80/PSMA6/PSMB7/RB1/PSMA7/RCC2/ACVR1/CCL2/CAMK2A/CDKN2D/CYP1A1/RBX1/BRD7/DLG1/PSMB1/CDC25A/CDC73/CDC14C/MDM2/CDKN1C/SMC5/GPNMB/DYNLL1/E2F1/CCNI/SPAST/PSMA1/MUC1/MAP3K20/ANKRD17/EIF4G1/E2F3/XRCC3/UBE2A/BARD1/CDC7/NBN/CCNG1/TTK/PPP2CA/MYO16/MTBP/DYNC1H1/FHL1/CUL4B/NFIA/PKMYT1/CDC25C/CCNE2/BRCC3/APC/AIF1/CENPF/GEN1/TOPBP1/PSME2/POLE/DLGAP5/CDC25B/SLFN11/STIL/ZFP36L2/FOXN3/ARID1B/CUL2/CCND1/CCND2/MARK3/CCNA1/DYNC1I2/BTN2A2/DTL/PIAS1/WAC/BCL7A/CUL4A/RDX/CCNH"
"GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",456,0.666167980683736,1.70652554287736,2.22949836329488e-13,1.23436176883821e-09,1.03296179432025e-09,2616,"tags=40%, list=15%, signal=35%","CUL1/EGFR/CDC20/EZH2/CCNB1/BIRC5/PLK1/CDK1/CDK4/TP53/KIF14/AURKA/TRIP13/AURKB/RAD51/PTEN/RAB11A/PRKDC/TICRR/ACTL6B/TIMELESS/MAPK14/BUB1/MRNIP/CUL3/BRCA1/SOX2/ORC1/CDCA8/ANLN/UBD/GLI1/PSMB2/CHEK1/BUB1B/CHEK2/RBBP8/NDC80/CDK14/UBE2C/MAPK15/DUSP1/PTPN11/KNL1/PSMA3/PSMA5/UBE2E2/MACROH2A1/CDC6/WEE1/CDK17/WDR76/PSMA4/DDB1/BLM/CDKN2B/RRM2/MAD2L1/CDC45/KLF4/CCNE1/ACTB/SMARCD3/HECW2/MSH2/PRPF19/UFL1/AMBRA1/FBXO7/BRCA2/ACTL6A/ESPL1/NUF2/BCL2/RAD21/PBRM1/UIMC1/CENPE/RFC2/SKP1/CDC23/GTPBP4/SMARCA2/TP53BP1/STK38/APBB1/CDC14B/RRM1/DYNLT1/RAD51C/ATR/RFC4/INO80/LYN/PSMA6/PSMB7/RB1/PSMA7/RCC2/CDK18/ACVR1/CCL2/CDKN2D/CYP1A1/RBX1/BRD7/TIPRL/DLG1/PSMB1/CDC25A/CDC73/DTX3L/CDC14C/SIX3/MDM2/CDKN1C/USP28/FBXW7/GPNMB/DYNLL1/E2F1/PSMA1/MUC1/MAP3K20/ANKRD17/EIF4G1/XRCC3/FBXO6/BARD1/CDC7/NBN/TTK/PPP2CA/MYO16/MTBP/DYNC1H1/FHL1/CUL4B/EME1/PKMYT1/CDC25C/CCNE2/BRCC3/APC/AIF1/CENPF/GEN1/TOPBP1/PSME2/MDC1/ATF2/DLGAP5/CDT1/CDC25B/SLFN11/STIL/ZFP36L2/FOXN3/ARID1B/CCND1/CCND2/MARK3/DYNC1I2/BTN2A2/DTL/BRIP1/WAC/BCL7A/ING4/CUL4A/RDX/CCNH/ERCC6/SMARCC1/TBX2/PSME1/APPL1/GFI1B/PRMT2/KMT2E/ATF5"
"GOBP_RESPONSE_TO_VIRUS","GOBP_RESPONSE_TO_VIRUS",412,0.664504065554562,1.69712468473931,1.48339313772704e-12,4.47818701211854e-09,3.74752054715163e-09,1988,"tags=28%, list=11%, signal=26%","ISG15/OASL/RNASEL/IFIT1/IFIT5/TLR7/IFIT3/RIGI/DDX60/DDX21/CCT5/IFIT2/MX1/IFIH1/STMN1/IFI27/CDK6/IFI16/IRF7/TNF/STAT1/MOV10/MAPK14/MYD88/TBK1/DHX58/IFI44/IFI6/USP18/IFI44L/FADD/SMAD3/MX2/NFKB1/PML/EIF2AK2/IFITM1/SMARCA5/ENO1/IRF1/STAT2/CHUK/PCBP2/HIF1A/DDX1/UBE2N/RHEB/DHX36/IFNLR1/IRAK3/RPSA/MTOR/PIM2/TRIM5/TRIM22/VAPB/TLR8/FOXP3/IRF2/RAB2B/TLR2/TTC4/IRF5/RRP1B/DDX60L/USP7/TRIM21/IL12RB1/ZC3HAV1/LGALS9/BCL2/HERC5/PHB1/ILF3/CASP1/LILRB1/TRAF3/TRIM38/CALR/ITCH/CD40/NCBP1/ISG20/TRIM6/PLSCR1/DDX17/BATF3/DTX3L/MLKL/G3BP1/IRF3/DNAJC3/AICDA/POLR3B/LCN2/RSAD2/MAPK11/EIF5A/TRIM25/CD2AP/EEF1G/POLR3K/GLI2/IFIT1B/CXCL12/SPN/ADAR/TANK/IFNAR2/WDFY4/TBX21/CXCR4/TRIM26/ATF2/FGL2/BECN1/UBE2W"
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE",479,0.646746035492916,1.66040843715,1.61769602171716e-12,4.47818701211854e-09,3.74752054715163e-09,2162,"tags=29%, list=12%, signal=26%","ISG15/OASL/YWHAE/AKIRIN2/NFKBIA/HSP90B1/TLR7/RIGI/DDX60/SRC/IFIH1/IRF4/BIRC3/AURKB/IFI35/HSPA8/IFI16/PRKDC/HSPD1/IRF7/TNF/WDFY1/MYD88/TBK1/PARP1/DHX58/RIPK2/BTK/UBQLN1/PRKCE/USP18/LAG3/PPP6C/SLAMF8/CASP8/HAVCR2/FADD/PTPN1/ESR1/EIF2AK2/PUM2/DNAJA3/IRF1/GFI1/FCRL3/PTPN11/STAT2/CHUK/PCBP2/TLR10/CEACAM1/PUM1/IRAK2/TRAFD1/IRAK3/EP300/S100A9/TRIM5/XRCC5/B2M/TLR8/IRF2/RALB/TLR2/IRF5/PAK2/RPS19/PIK3R1/TRIM21/ZC3HAV1/CSNK1A1/RNF125/LGALS9/XRCC6/TXK/FYN/PHB1/UFD1/CASP1/LILRB1/IPO5/NR1H3/TRAF3/ITCH/MAPK8/ARRB2/RASGRP1/TAX1BP1/LYN/TRIM6/RTN4/PLSCR1/KLRD1/MED1/PYDC1/CLEC4E/HMGB2/PAK1/IRF3/DDX39A/ERBIN/KLRK1/LILRA4/POLR3B/RSAD2/ANKRD17/CADM1/PIK3AP1/ARG1/CRK/NFE2L2/LAMP2/TRIM25/XIAP/GDI1/AP3B1/CREBBP/PPP2CA/SYK/ADAR/NOD1/BRCC3/IRAK4/SERPING1/MFHAS1/KAT5/PPARG/BECN1/C3/TAB1/RBM47/KLRC1/CLEC6A/USP15/OAS3/STAT5B/SAMHD1"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",340,0.680235899012174,1.73237657598573,4.34632563047258e-12,9.62537274124457e-09,8.05488516316844e-09,2383,"tags=36%, list=13%, signal=32%","CDC42/RHOA/CDC20/CCNB1/BIRC5/CCNB2/PLK1/SPAG5/CDK1/TOP2A/KIF14/PRC1/AURKA/TRIP13/AURKB/PTEN/RAB11A/MAPRE1/ACTL6B/KIF11/H3-7/BUB1/CUL3/TTN/CDCA8/KIFC1/BUB1B/CHEK2/KIF23/NDC80/UBE2C/MAPK15/SMARCA5/TPX2/DUSP1/MYBL2/UBE2B/KNL1/SMC2/REC8/CDC6/CDC27/ACTR2/ACTR3/DDB1/CEP192/MAD2L1/CENPA/CCNE1/ACTB/SMARCD3/NCAPH/SIRT1/HECW2/KPNB1/ACTL6A/NUMA1/ESPL1/NUF2/RAD21/PBRM1/CENPE/PPP1CC/CDC23/H3-3B/SMARCA2/ECT2/DYNLT1/HNRNPU/SGO1/INO80/RB1/RCC2/ASPM/BRD7/RACGAP1/GOLGA2/SMC3/CHMP5/AGO4/TOP2B/DYNLL1/PDCD6IP/RAN/NCAPG/DRG1/CEP55/MAP3K20/PHF13/KIF15/RMDN1/XRCC3/RIPOR2/TTK/KIF18B/DYNC1H1/CCNE2/KMT5A/EHMT2/APC/CENPF/GEN1/KAT5/STAG3/STAG2/BECN1/SMC4/DLGAP5/PRICKLE1/KAT2B/CDT1/ARID1B/SEPTIN1/EML3/DYNC1I2/KIF2C/TUBG1/BRIP1/KIF4A/BCL7A/H3-3A/DMC1"
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION",447,0.65339779383177,1.67460180030432,5.22260446594327e-12,9.63831654189831e-09,8.06571703749099e-09,2400,"tags=34%, list=13%, signal=30%","CDC42/RHOA/CDC20/CCNB1/TUBB/BIRC5/CCNB2/PLK1/SPAG5/CDK1/TOP2A/KIF14/PRC1/AURKA/TRIP13/AURKB/PTEN/RAB11A/MAPRE1/ACTL6B/KIF11/H3-7/BUB1/CUL3/TTN/BRCA1/CDCA8/KIFC1/BUB1B/CHEK2/KIF23/NDC80/MKI67/TUBB1/UBE2C/NCOR1/PUM2/MAPK15/SMARCA5/TPX2/DUSP1/MYBL2/SRPK1/UBE2B/KNL1/SMC2/REC8/NR3C1/PUM1/PPP2R2A/CDC6/CDC27/ACTR2/NUP37/PPP2R2D/ACTR3/DDB1/CEP192/MAD2L1/TNKS/CENPA/CCNE1/ACTB/SMARCD3/NCAPH/SIRT1/HECW2/KPNB1/ACTL6A/NUMA1/ESPL1/NUF2/RAD21/PBRM1/RAD21L1/CENPE/PPP1CC/CDC23/H3-3B/SMARCA2/ECT2/DYNLT1/HNRNPU/SLC25A5/SGO1/GTF2B/INO80/RB1/RCC2/ASPM/CSNK2A1/STARD9/BRD7/PLSCR1/RACGAP1/GOLGA2/SMC3/CHMP5/MAPRE3/AGO4/TOP2B/SMC5/DYNLL1/SMC6/PDCD6IP/RAN/SMARCAD1/NCAPG/DRG1/CEP55/MAP3K20/PHF13/KIF15/RMDN1/XRCC3/RIPOR2/TTK/KIF18B/CENPO/DYNC1H1/CSNK1D/CCNE2/KMT5A/EHMT2/APC/TUBGCP3/CENPF/GEN1/KAT5/STAG3/STAG2/BECN1/SMC4/DLGAP5/PRICKLE1/KAT2B/CDT1/STIL/ESCO2/ARID1B/TUBGCP2/SEPTIN1/EML3/DYNC1I2/KIF2C/TUBG1/BRIP1/KIF4A/BCL7A/H3-3A/DMC1/NDEL1"
"GOBP_DEFENSE_RESPONSE_TO_VIRUS","GOBP_DEFENSE_RESPONSE_TO_VIRUS",316,0.686863816740698,1.74482719569365,7.02987418888478e-12,1.11202566990745e-08,9.30586202778237e-09,1700,"tags=26%, list=9%, signal=24%","ISG15/OASL/RNASEL/IFIT1/IFIT5/TLR7/IFIT3/RIGI/DDX60/DDX21/IFIT2/MX1/IFIH1/IFI27/IFI16/IRF7/TNF/STAT1/MOV10/MYD88/TBK1/DHX58/IFI6/USP18/IFI44L/FADD/MX2/PML/EIF2AK2/IFITM1/SMARCA5/IRF1/STAT2/PCBP2/DDX1/UBE2N/DHX36/IFNLR1/RPSA/TRIM5/TRIM22/VAPB/TLR8/FOXP3/IRF2/RAB2B/TLR2/TTC4/IRF5/DDX60L/USP7/TRIM21/IL12RB1/ZC3HAV1/BCL2/HERC5/PHB1/ILF3/CASP1/LILRB1/TRAF3/TRIM38/ITCH/CD40/NCBP1/ISG20/TRIM6/PLSCR1/DDX17/DTX3L/MLKL/G3BP1/IRF3/DNAJC3/AICDA/POLR3B/RSAD2/TRIM25/POLR3K/IFIT1B/SPN/ADAR/TANK"
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",347,0.671249814455278,1.70995455170235,2.37344394478209e-11,3.28514310007151e-08,2.74913513762062e-08,2420,"tags=38%, list=13%, signal=34%","EGFR/CDC20/EZH2/CCNB1/BIRC5/PLK1/CDK1/CDK4/TP53/KIF14/AURKA/TRIP13/AURKB/PTEN/RAB11A/PRKDC/TICRR/ACTL6B/BUB1/MRNIP/CUL3/BRCA1/ORC1/CDCA8/ANLN/UBD/PSMB2/CHEK1/BUB1B/RBBP8/NDC80/UBE2C/DUSP1/KNL1/PSMA3/PSMA5/UBE2E2/CDC6/WEE1/PSMA4/DDB1/BLM/CDKN2B/RRM2/MAD2L1/KLF4/CCNE1/ACTB/SMARCD3/HECW2/AMBRA1/FBXO7/ACTL6A/ESPL1/NUF2/BCL2/RAD21/PBRM1/UIMC1/CENPE/CDC23/GTPBP4/SMARCA2/CDC14B/RRM1/DYNLT1/RAD51C/ATR/INO80/PSMA6/PSMB7/RB1/PSMA7/RCC2/ACVR1/CCL2/CDKN2D/CYP1A1/BRD7/DLG1/PSMB1/CDC25A/CDC73/CDC14C/MDM2/CDKN1C/GPNMB/DYNLL1/E2F1/PSMA1/MUC1/MAP3K20/ANKRD17/EIF4G1/XRCC3/BARD1/CDC7/NBN/TTK/PPP2CA/MYO16/MTBP/DYNC1H1/FHL1/CUL4B/PKMYT1/CDC25C/CCNE2/BRCC3/APC/AIF1/CENPF/GEN1/TOPBP1/PSME2/DLGAP5/CDC25B/SLFN11/STIL/ZFP36L2/FOXN3/ARID1B/CCND1/CCND2/MARK3/DYNC1I2/BTN2A2/DTL/WAC/BCL7A/CUL4A/RDX/CCNH"
"HP_ABNORMAL_LYMPH_NODE_MORPHOLOGY","HP_ABNORMAL_LYMPH_NODE_MORPHOLOGY",264,0.697427590257318,1.75595044257911,4.6276577935372e-11,5.69356163864861e-08,4.76459316450386e-08,2233,"tags=37%, list=12%, signal=33%","ISG15/HABP2/NFKBIA/JAK2/TLR7/BLK/KRAS/MYC/IFIH1/WT1/TGFBR2/TP53/IRF4/BIRC3/TRIP13/TSC1/STAT1/ZBTB16/CHD7/MYD88/TBK1/BTK/BRCA1/CASP8/RBBP7/MAP2K1/MCM4/PSMB8/PML/IRF1/NRAS/STAT2/BCL6/ATRX/ITK/ABCA1/CR2/KIT/CTR9/IRF8/TLR8/FOXP3/GATA2/FASLG/ALK/IRF5/CYBB/HLA-DRB1/PIK3R1/FLT3LG/SDHA/BRCA2/IL12RB1/NUMA1/BCL2/PLCG1/REST/CCR1/GINS1/HLA-DPB1/TRAF3/CALR/CD40/RASGRP1/DLEC1/YARS1/SP110/SOCS1/ASXL1/PRKAR1A/EPHB4/ASAH1/CD40LG/ETS1/SMAD4/AICDA/PIK3CG/ADA/ZAP70/SDHB/XIAP/SYK/ELANE/BANK1/ADA2/CXCR4/RAG1/MAGT1/MALT1/BRAF/RUNX1/RFX5/STAT5B/NCF4/KIAA0319L/ITGAM/CCND1"
"GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION","GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION",253,0.697714696747216,1.75559829914068,6.46831621549061e-11,7.16236654541275e-08,5.99374606789093e-08,2034,"tags=36%, list=11%, signal=33%","CDC20/MAPK1/CCNB1/CCT5/BIRC5/SRC/MYC/PLK1/CDK1/TP53/TRIP13/AURKB/FEN1/ACTL6B/PARP1/BUB1/CUL3/RUVBL1/CDCA8/BUB1B/HNRNPC/NDC80/PML/UBE2C/MAPK15/SMARCA5/DUSP1/KNL1/SMC2/MACROH2A1/TCP1/DHX36/CDC6/CDC27/ATRX/EP300/XRCC5/MAD2L1/TNKS/KLF4/AXIN2/MAPK3/ACTB/SMARCD3/XRN1/NCAPH/SIRT1/HECW2/USP7/CCT3/ACTL6A/CCT4/NUMA1/ESPL1/NUF2/RAD21/TNKS2/PBRM1/CENPE/CDC23/SMARCA2/DYNLT1/HNRNPU/ATR/INO80/RB1/SMG1/STN1/BRD7/PRKCQ/SMC5/CCT7/DYNLL1/MAP3K4/SMC6/CTPS1/NCAPG/CCT2/MAP3K20/XRCC3/NBN/TTK/DYNC1H1/APC/CENPF/GEN1/TINF2/KAT5/BECN1/SMC4/DLGAP5/KAT2B"
