"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"XIE_ST_HSC_S1PR3_OE_UP","XIE_ST_HSC_S1PR3_OE_UP",179,0.779531136542483,2.25032623579259,2.14339156990722e-15,1.35676686375127e-11,1.21338524873274e-11,923,"tags=27%, list=5%, signal=26%","ISG15/OASL/IFIT1/IFIT3/IFIT2/IFIT5/MX1/IFI35/IRF7/RIGI/XAF1/RNF213/HELZ2/IFI27/IFIH1/DHX58/IFI6/SAMD9L/DDX60/MX2/BLK/IFI44/IFI44L/IFITM1/LGALS3BP/DDX60L/IFITM3/USP18/TUBAL3/SHISA5/SAMD9/RELB/ANKRD45/BATF2/ABCA1/EIF2AK2/STAT1/TDRD7/HERC5/SP110/PLSCR1/HES4/EGR3/ISG20/H1-0/COL6A3/RSAD2/LAMP3"
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP",173,0.770641348981158,2.2193845188248,1.4654913868563e-14,4.63828023940018e-11,4.14811193605956e-11,1214,"tags=29%, list=7%, signal=27%","ISG15/OASL/IFIT1/IFIT3/IFIT2/IFIT5/MX1/IFI35/IRF7/RIGI/XAF1/RNF213/HELZ2/IFI16/IFI27/IFIH1/IFI6/SAMD9L/DDX60/MX2/IFI44/STAT2/IFI44L/IFITM1/LGALS3BP/DDX60L/CTSG/CYP1A1/USP18/SAMD9/TRIM22/CH25H/EIF2AK2/STAT1/OFD1/HERC5/SP110/TTC28/MYCN/HOPX/FGF18/SOX4/SERPING1/RSAD2/COL24A1/AUTS2/DTX3L/CLEC2B/DST/CMPK2"
"BROWNE_INTERFERON_RESPONSIVE_GENES","BROWNE_INTERFERON_RESPONSIVE_GENES",66,0.889228520918106,2.24748660505586,1.81350713634788e-13,3.82650005769403e-10,3.42211978220313e-10,736,"tags=48%, list=4%, signal=47%","ISG15/OASL/IFIT3/IFIT2/IFIT5/MX1/IFI35/IRF7/XAF1/UBE2L6/IFI27/MYD88/IFI6/PML/MX2/IFI44/SP100/IFI44L/PSMB8/LMO2/TAP1/CASP1/TRIM21/TRIM22/TRIM14/EIF2AK2/STAT1/TDRD7/SP110/PLSCR1/MELK/ISG20"
"BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE","BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",75,0.861001012939984,2.22949470487966,3.07181187047395e-12,4.27832661947618e-09,3.82619781484042e-09,1687,"tags=52%, list=9%, signal=47%","OASL/IFIT1/IFIT3/IFIT5/MX1/IFI35/IRF7/XAF1/IFIH1/MOV10/DHX58/IFI6/SAMD9L/DDX60/PML/IFI44/STAT2/IFI44L/TRAFD1/IFITM3/TRIM22/EIF2AK2/TDRD7/CMTR1/HERC5/PNPT1/RSAD2/LAMP3/NOD1/CYP24A1/PTPN2/CCL2/NUB1/CD80/LILRB1/PARP12/OAS3/CD274/MIA3"
"BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP","BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP",196,0.728560530405705,2.10585254739382,3.45691556109477e-12,4.27832661947618e-09,3.82619781484042e-09,1653,"tags=41%, list=9%, signal=37%","OASL/IFIT1/IFIT3/IFIT2/IFIT5/MX1/PLEKHA4/IRF7/RIGI/XAF1/HELZ2/UBE2L6/IFI16/PHF11/CEACAM1/ATF3/IFIH1/DHX58/SAMD9L/DDX60/MX2/IFI44/SP100/UBA7/STAT2/IFI44L/IFITM1/DDX60L/IFITM3/USP18/LMO2/SAMD9/TAP1/CASP1/BATF2/TRIM21/TAP2/TRIM22/CH25H/TRIM14/EIF2AK2/STAT1/TRIM5/TDRD7/HERC5/SP110/PNPT1/PLSCR1/C1S/MYPN/LAP3/PLAAT2/ZC3HAV1/DUSP5/TRANK1/TRIM38/HYOU1/ETV7/SERPING1/RSAD2/PRDM16/LAMP3/CORO2B/TNFAIP6/RASGRF2/SP140L/DTX3L/LRRN3/B2M/CMPK2/TNFSF13B/PIK3AP1/TRAF1/CFB/PARP12/OAS3/NLRC5/SHFL/CD274/RUFY4"
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP",314,0.664311427434732,2.00596520923456,4.05528589523808e-12,4.27832661947618e-09,3.82619781484042e-09,1718,"tags=28%, list=10%, signal=25%","ISG15/OASL/UBQLNL/IFIT1/IFIT3/IFIT2/IFIT5/MX1/IFI35/IRF7/RIGI/XAF1/RNF213/HELZ2/UBE2L6/IFI16/PHF11/ATF3/IFIH1/DHX58/SAMD9L/DDX60/PML/MX2/LGALS9/IFI44/SP100/JUN/STAT2/RND1/IFI44L/IFITM1/KIT/DDX60L/CYP1A1/USP18/LMO2/SAMD9/TAP1/CASP1/LAMA2/BATF2/TRIM21/TRIM22/CH25H/EIF2AK2/STAT1/TRIM5/TDRD7/SELE/HERC5/SP110/PNPT1/EGR2/NUPR1/DNAH17/PLAAT2/ISG20/ZC3HAV1/TNF/TRANK1/ETV7/AMOTL2/RSAD2/LAMP3/FAP/NOD2/DTX3L/NR1I2/PDZD2/LRRN3/CMPK2/TNFSF13B/TRAF1/CCL2/CSF3/BCL2L14/PARP12/CNTN4/OAS3/MT2A/NLRC5/CD274/DAPP1/COL4A1/IKZF3/HIVEP2"
"HECKER_IFNB1_TARGETS","HECKER_IFNB1_TARGETS",90,0.823585793929602,2.21490533336338,8.14557295779312e-11,7.36592526040435e-08,6.58750246120472e-08,1567,"tags=53%, list=9%, signal=49%","ISG15/OASL/IFIT1/IFIT3/IFIT2/IFIT5/MX1/IFI35/IRF7/RIGI/XAF1/IFI27/SIGLEC1/DHX58/IFI6/SAMD9L/DDX60/MX2/IFI44/IFI44L/LGALS3BP/RPS23/SAMD9/JUP/EIF2AK2/STAT1/HERC5/PNPT1/PLSCR1/EGR2/HES4/LAP3/C1QB/SERPING1/RSAD2/LAMP3/GZMB/TNFAIP6/KLRD1/DTX3L/C1QA/CMPK2/C3AR1/APOBEC3A/CCL2/CABP5/PARP12/OAS3"
"BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP","BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP",275,0.663877099356192,1.99039897828266,1.01834013569014e-10,8.05761632364822e-08,7.2060963812389e-08,1643,"tags=26%, list=9%, signal=24%","OASL/HSPA1B/IFIT1/IFIT3/IFIT2/MX1/PLEKHA4/IRF7/RIGI/XAF1/HELZ2/UBE2L6/IFI16/CEACAM1/ATF3/IFIH1/DHX58/SAMD9L/DDX60/MX2/IFI44/SP100/UBA7/STAT2/IFI44L/IFITM1/DDX60L/USP18/LMO2/SAMD9/TAP1/CASP1/BATF2/ABCA1/COL17A1/TRIM22/CH25H/STAT1/HERC5/SP110/C1S/LAP3/ZC3HAV1/TNF/TRANK1/ARG2/ZBTB32/SERPING1/RSAD2/LAMP3/CORO2B/KRT17/SP140L/C15orf48/IL20RB/DTX3L/B2M/CMPK2/TNFSF13B/TRAF1/CCL2/HAS3/CSF3/TNC/CFB/PARP12/OAS3/GFPT2/NLRC5/SAMD4A/CD274"
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP","TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP",184,0.713366585765635,2.06043216987893,1.70212251019458e-10,1.19715949883686e-07,1.0706450128452e-07,1118,"tags=23%, list=6%, signal=22%","ISG15/OASL/IFIT1/IFIT3/IFIT2/MX1/IRF7/RIGI/XAF1/IFI27/IFIH1/IFI6/SAMD9L/CDH1/DDX60/MX2/IFI44/IL31RA/IFI44L/IFITM1/KIT/LGALS3BP/DDX60L/USP18/PALLD/SAMD9/FLT3/EIF2AK2/STAT1/ARL4A/HERC5/SP110/HOPX/ZNF521/FGF18/ARG2/SOX4/RSAD2/DNAJC6/TNFAIP6/C15orf48/AUTS2"
"BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP","BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP",359,0.610669550344877,1.85808163992134,9.5879662287996e-10,6.06918262283015e-07,5.4277981451036e-07,1826,"tags=25%, list=10%, signal=23%","IFIT1/IFIT3/IFIT2/IFIT5/MX1/AXL/PLEKHA4/RIGI/XAF1/HELZ2/REC8/IFI16/PHF11/IFIH1/ZCCHC2/MYD88/DHX58/SAMD9L/PML/SP100/UBA7/STAT2/DDX60L/USP18/LMO2/CYP2J2/SAMD9/TAP1/CCNA1/RELB/BATF2/ABCA1/MLKL/TRIM21/TAP2/CYP27B1/TRIM14/EIF2AK2/TRIM5/TDRD7/CMTR1/SP110/PNPT1/PLSCR1/C1S/ADAR/VEGFC/PPP2R2B/LAP3/HEPHL1/TRIM56/HAS2/NRG1/TRANK1/TRIM38/EXOC3L1/TMEM62/CNP/CORO2B/H3-5/SP140L/GLRX/FMR1/DTX3L/TRAF3IP3/NCALD/PDZD2/SOCS1/EIF5/APOBEC3A/NRCAM/SYNJ2/PARP12/RIMS2/WNT10A/OAS3/NLRC5/SHFL/CD274/SLFN11/DAPP1/BPGM/SMURF2/TRIM25/WFDC2/TGM2/STK17A/SPRY2/ANGPTL4"
