"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"TARTE_PLASMA_CELL_VS_PLASMABLAST_DN","TARTE_PLASMA_CELL_VS_PLASMABLAST_DN",300,0.747871792772586,1.90146013511113,9.71385036501052e-19,6.15081005112466e-15,4.09617732234023e-15,2324,"tags=47%, list=13%, signal=42%","HSPA4/CDC20/MAPK1/EZH2/CCNB1/KPNA2/CCT5/FOXM1/PSMD14/TUBA4A/CDK1/TOP2A/KIF14/TRIP13/HSPA9/PCNA/YWHAH/PRKDC/KIF11/NME1/CDKN3/ORC1/KIFC1/PSMB2/DNAJC7/CCNF/VDAC1/PTPN1/KIF23/PSMB8/MKI67/UBE2C/UBE2D3/SLA/PSMA3/TUBA1A/PSMA5/HUWE1/TCP1/CDC6/HMMR/CDC27/MTHFD1/MCM3/TRAP1/PLK4/TMPO/CD180/RRM2/SGK1/MAD2L1/BRD8/UQCRC2/CENPA/CCNE1/UBE2S/PSMC5/RPA1/RRP1B/PAK2/MYO5A/NDUFV2/GNL2/IDH2/TARS1/CCT4/ESPL1/CCNA2/XRCC6/MAPK6/CENPE/LMNB1/FH/PHB1/RRM1/UFD1/GINS1/MRPL19/CAPRIN1/CASP1/TXN/IPO5/EED/CBX5/GART/RFC4/EIF2S1/RB1/ACVR1/YARS1/SELL/PPIF/NFIL3/IFI30/PAICS/TOP2B/HMGB2/ATP1B3/CCT7/WARS1/DDX39A/PWP1/CTPS1/PSMA1/CCT2/ITGB7/MYCBP/CKS1B/PRKCB/NDUFS1/USP14/SDHB/RARS1/NNT/RIPOR2/EIF3A/TTK/MRPL3/ATP13A3/ABCE1/SNRPB2/DHCR24/TYMS/OSTF1/OAT/TOPBP1/PSME2/UCHL3/IQGAP1/DLGAP5/CDC25B/STIL/LBR/MTHFD2/ATIC/CCT6A/LILRB4/CCND2/CYTIP/KIF2C/TUBG1"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",439,0.694552260884425,1.78564457096295,3.94431375626189e-17,1.24876973523252e-13,8.31627416188692e-14,2335,"tags=36%, list=13%, signal=32%","CUL1/CDC42/MAPK1/H3C12/NFKBIA/JAK2/HSP90B1/LCK/IRS2/BIRC5/PSMD14/MYC/TP53/RHOU/IRF4/FOXO1/HSPA8/HSPA9/FN1/PSMC2/TNF/STAT1/MAPK14/CANX/MYD88/TBK1/JAK1/H3C14/IL1R2/PPP2CB/S100A12/RIPK2/COL1A2/H3C15/H3C4/USP18/SOX2/FOXO3/CASP8/PSMB2/HAVCR2/SMAD3/MEF2C/MAP2K1/NFKB1/CD4/PTPN11/TWIST1/STAT2/CHUK/HIF1A/UBE2N/PSMA3/PSMA5/TCP1/BCL6/IRAK2/IFNLR1/IRAK3/HGF/PSMA4/VIM/PSMD1/CASP3/PSMD2/PSMD6/MAPK3/FASLG/IRS1/PSMC5/PAK2/FOS/PRTN3/PIK3R1/IL12RB1/LGALS9/CSF3R/CSF1R/BCL2/PTPN13/DUSP6/SOS2/SKP1/IL31RA/LMNB1/FYN/CCR1/PSMC3/CASP1/SHC1/HNRNPF/MAPK8/MEF2A/LYN/PSMA6/PSMB7/PSMA7/CCL2/PSMD7/SDC1/RBX1/BRWD1/PSMB1/NFKB2/SOCS1/VCAM1/LAMA5/FCER2/ANXA2/SOD1/CTSG/DUSP3/PSMA1/CAPZA1/BLNK/MUC1/LCN2/VAMP2/SOCS2/BATF/MAPK11/CRK/USP14/CISH/STX3/MAP3K3/CCR2/PPP2CA/SYK/NOD1/CCR5/PIK3CA/TYK2/PIK3CB/CREB1/IRAK4/PSME2/RAG1/MMP9/ATF2/MCL1/TAB1/PPP2R5D/AGER/BTRC/UBC/PTPN12/STAT5B/IL27/MAOA/RPS6KA3/ITGAM/CCND1/RPLP0/GSTO1/MAP2K6/RPS6KA5/PTK2B"
"GOLDRATH_ANTIGEN_RESPONSE","GOLDRATH_ANTIGEN_RESPONSE",345,0.721859138859626,1.84651601384238,9.65831257684933e-17,2.03854784122033e-13,1.35758597132837e-13,2341,"tags=37%, list=13%, signal=33%","CDC20/EZH2/CCNB1/KPNA2/BIRC5/CCNB2/UBE2T/PLK1/STMN1/CDK1/TOP2A/IRF4/PRC1/AURKA/TRIP13/AURKB/RAD51/KIF20A/RAB11A/PCNA/ATP5IF1/FEN1/KIF11/BUB1/SP100/CDKN3/BRCA1/CDCA8/LAG3/ANLN/KIFC1/CHEK1/CCNF/LRRC59/MCM4/MKI67/DUSP1/GAPDH/H2AZ2/CDC6/WEE1/MCM3/CASP3/PLK4/TMPO/SQLE/IRF8/RRM2/MAD2L1/CDC45/CENPA/FASLG/CAPN2/NCAPH/RHOQ/POLA1/CD244/HLA-DRB1/CD48/S100A4/IL12RB1/GZMA/TPM4/CCNA2/MAPK6/RAD21/ITSN1/LMNB1/FYN/ECT2/RRM1/NPTN/CASP1/TXN/CBX5/LYN/ASPM/KLRG1/PLSCR1/NFIL3/RACGAP1/IFI30/BATF3/HLA-DQB1/HMGB2/JCHAIN/TKTL1/ANXA2/S100A6/KLRK1/RAN/MS4A1/CKS1B/SOCS2/SNU13/DHRS1/CISH/HIP1R/POLR3K/CD44/CCR2/TTK/CCR5/LIG1/PRDX4/CDC25C/TCF19/GLRX/MCM10/TYMS/TOPBP1/GZMK/FGL2/C3/PGM2/DLGAP5/GTSE1/RUNX2/NCF4/MTHFD2/HBB/HOPX/ITGA4/LITAF/CRMP1/DTL/GSTO1/KIF2C/KIF4A"
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP","SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",152,0.818163130935302,2.01653713415684,1.54678279481703e-16,2.44855716419535e-13,1.63063470422027e-13,1498,"tags=52%, list=8%, signal=48%","CDC20/TUBA1C/EZH2/CCNB1/KPNA2/CCT5/FOXM1/BIRC5/CCNB2/PLK1/STMN1/SPAG5/CDK1/TOP2A/KIF14/PRC1/AURKA/TRIP13/AURKB/RAD51/KIF20A/TUBA1B/FEN1/TIMELESS/KIF11/NME1/BUB1/CDKN3/CDCA8/KIFC1/CHEK1/BUB1B/NDC80/MCM4/MKI67/UBE2C/TPX2/MYBL2/EXO1/UBE2N/MCM2/TUBA1A/H2AZ2/HMMR/MCM6/DNAJC9/MCM3/BLM/TMPO/RRM2/NUP93/MAD2L1/CDC45/MELK/CENPA/UBE2S/NCAPH/SHMT2/ESPL1/CCNA2/CENPE/STIP1/GTPBP4/LMNB1/ECT2/GINS1/TXN/ITCH/RFC4/PSMA7/ASPM/RACGAP1/CDC25A/TIMM10/DDX39A/E2F1/NCAPG/CEP55/KIF15"
"JIANG_MELANOMA_TRM3_CD8","JIANG_MELANOMA_TRM3_CD8",408,0.693591629510951,1.78129953065287,2.17264742568702e-16,2.75144069989004e-13,1.83234222890573e-13,2016,"tags=30%, list=11%, signal=27%","ISG15/OASL/HSPA5/RHOA/YWHAB/AKIRIN2/FKBP5/KPNA2/LDHA/TUBB/MX1/STMN1/UBE2L6/BIRC3/IFI16/RAB11A/TUBA1B/ATP5IF1/STAT1/PRDX1/SP100/IFI6/CD3D/LAG3/PSMB2/HAVCR2/VDAC1/HNRNPC/PDIA3/PSMB8/ACTG1/RAC1/IFITM1/ENO1/ATP5F1B/UBE2B/GAPDH/HIF1A/SLA/NR3C1/TAP1/HLA-DRB5/H2AZ2/NHP2/MACROH2A1/MYL12B/CD2/FKBP1A/PSMA4/VIM/PDIA6/LAP3/TMPO/XRCC5/TRIM22/B2M/NDUFA12/HLA-DRA/ACTB/PSMC5/PPM1G/NDUFV2/TPM3/HLA-DRB1/S100A4/ANXA5/IDH2/CALM2/TPM4/XRCC6/RAD21/PPP1CC/SP140/SIRPG/NIBAN1/SLC25A3/LMNB1/PSMC3/RBPJ/CTSB/HLA-DPB1/CAPZB/SLC25A5/TXN/CALR/GZMH/TAX1BP1/ISG20/PSMA7/PPIB/RBX1/PSMB1/MDH2/HLA-DQB1/HMGB2/PKM/DYNLL1/PRDX3/SOD1/RAN/HNRNPK/BATF/NDUFA6/CD8A/UBE2A/PRDX6/VAMP5/ARID5B/ARPC2/ATP5F1C/CLTA/CAP1/TANK/MYL6/RGS1/PSMB9/ATP2B1/PSME2/ITM2A/SMC4/RGS2/TOX/IQGAP1"
"PUJANA_BRCA2_PCC_NETWORK","PUJANA_BRCA2_PCC_NETWORK",417,0.690520996350516,1.77346153466469,8.76768572975431e-16,9.25283100680072e-13,6.16199105849049e-13,2125,"tags=38%, list=12%, signal=34%","CDC20/EZH2/CCNB1/LCK/FOXM1/CCNB2/STMN1/SPAG5/CDK1/TOP2A/KIF14/AURKA/AURKB/PCNA/MAPRE1/PRKDC/FEN1/RAD54L/TIMELESS/KIF11/RBBP4/BUB1/DNMT1/CDKN3/CD3D/NSD2/BRCA1/KIFC1/CHEK1/BUB1B/CCNF/CHEK2/RBBP8/KIF23/NDC80/MCM4/MKI67/UBE2C/SSRP1/TPX2/MYBL2/MYB/SRPK1/HDAC4/SMC2/MCM2/XPO1/H2AZ2/MACROH2A1/TCP1/CDC6/HMMR/MCM6/CDC27/DNAJC9/MCM3/PLK4/BLM/TMPO/TRIM24/XRCC5/RRM2/NUP93/MCM7/MAD2L1/CDC45/RHOH/MELK/CENPA/UBE2S/NCAPH/RPA1/PAK2/POLA1/HMGN4/MSH2/BRCA2/ESPL1/CCNA2/NFYA/RAD21/CENPE/PPP1CC/TRRAP/PHF20/CDC23/LMNB1/ILF3/RRM1/GINS1/WDHD1/RAD51C/CKAP5/WDR77/ATR/RFC4/TCF7/RB1/CSNK2A1/CAD/PRKCA/PRKCQ/NUP205/PAICS/ASXL1/SMC3/HMGB2/ADK/KATNA1/MDM2/SMC5/DDX39A/E2F1/POLR2B/CTPS1/CD1B/GRAP2/ADA/ZAP70/XRCC3/CD2AP/RIF1/EXOSC9/BARD1/MYBL1/DDX46/CDC7/TTK/LIG1/ASF1A/HLTF/CDC25C/CCNE2/ELOVL5/TYMS/TUBGCP3/CENPF/TOPBP1/MFHAS1/CXCR4/RAG1/POLE/STAG2/ITM2A/RBBP5/SMC4/TIAL1/TOX/DLGAP5/FANCA/DDB2/CDT1/RUNX1/CDC25B/CD1C/STIL/CYB5B/GTSE1/LBR"
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP","BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP",314,0.721207314617468,1.83714336531863,1.02858230118568e-15,9.30426161586821e-13,6.19624165195466e-13,1267,"tags=25%, list=7%, signal=24%","ISG15/OASL/ATF3/IFIT1/IFIT5/NFKBIA/UBQLNL/IFIT3/RIGI/DDX60/IRS2/IFIT2/MX1/IFIH1/XAF1/RNF213/UBE2L6/BIRC3/IFI35/IFI16/IRF7/TNF/STAT1/PHF11/RASGRP3/DHX58/SP100/IFI44/USP18/SAMD9L/KMO/IFI44L/EGR2/PPM1K/SAMD9/EGR1/MX2/PML/EIF2AK2/IFITM1/DUSP1/IRF1/STAT2/TAP1/CH25H/PNPT1/IRAK2/ALDH1L2/KLF6/KIT/HELZ2/TRIM5/SCN3A/TRIM22/KLF4/XRN1/DDX60L/BATF2/LAMP3/TRIM21/FLT3LG/TDRD7/ZC3HAV1/LGALS9/HERC5/CASP1/RASGRP1/ISG20/CCL2/LMO2/CYP1A1/SP110/VCAM1/DTX3L/KLF9/ADRB2/CLEC4E/NPR1"
"SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6","SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6",448,0.675304700519277,1.7365021159625,1.98572876767613e-15,1.39707050632503e-12,9.30389408574336e-13,2360,"tags=36%, list=13%, signal=32%","CDC20/EZH2/CCNB1/KPNA2/CCT5/FOXM1/BIRC5/CCNB2/TUBA3C/TUBA4A/STMN1/SPAG5/CDK1/TOP2A/KIF14/PRC1/AURKA/TRIP13/AURKB/KIF20A/PCNA/DNAJA1/PRKDC/RAD54L/TEAD4/KIF11/NME1/BUB1/RIPK2/CDKN3/NSD2/ORC1/CDCA8/PSMB2/CHEK1/BUB1B/KIF23/NDC80/MCM4/MKI67/UBE2C/TPX2/MYBL2/EXO1/NRAS/SMC2/GAPDH/UBE2N/PSMA5/TCP1/CDC6/HMMR/MCM6/CDC27/WDR76/NUP37/DNAJC9/ACTR3/ERN1/PLK4/PBK/RRM2/MAD2L1/CDC45/COL2A1/VRK2/MELK/YME1L1/CENPA/CCNE1/UBE2S/NCAPH/HDAC2/PPM1G/SCD/YEATS2/BRCA2/CCNA2/CENPE/RFC2/LMNB1/GINS1/MRPL19/WDHD1/WASF1/H2BC11/IPO5/ITCH/CBX5/RFC4/NCBP1/PSMA7/ASPM/AGPAT5/CAD/CDKN2D/PPIF/RACGAP1/PAICS/CDC25A/LDHC/TUBA3E/HMGB2/PKM/DARS1/WARS1/SMC6/RAN/PPID/NCAPG/PFN2/CEP55/KIF15/PITX1/MRPL13/DNM1L/XRCC3/GCH1/RIF1/MYBL1/CDC7/NBN/PYGL/TTK/KIF18B/CSNK1D/PKP2/ATAD2/MTCH2/CDC25C/CCNE2/VANGL1/LRPPRC/ATP2B1/SAP30/MCM10/TYMS/CENPF/PLIN2/GNAI3/SYNCRIP/NOLC1/DLGAP5/FANCA/CDT1/KLRC1/RC3H2/PTBP3/GTSE1/MTHFD2/YKT6/PRMT1/GINS2/DTL/SEC23A/KIF2C/TUBG1/BRIP1/PVR/KIF4A/UBE2K"
"FIGAROL_EGFR_TKI_DRUG_TOLERANT_CELL_DN","FIGAROL_EGFR_TKI_DRUG_TOLERANT_CELL_DN",488,0.667617705249614,1.72468434883213,1.77590847150734e-15,1.39707050632503e-12,9.30389408574336e-13,2414,"tags=37%, list=13%, signal=33%","CDC20/CCNB1/KPNA2/FOXM1/BIRC5/CCNB2/UBE2T/PLK1/SPAG5/CDK1/DUSP5/TOP2A/KIF14/PRC1/AURKA/TRIP13/AURKB/RAD51/KIF20A/PCNA/TUBA1B/FEN1/RAD54L/TICRR/TIMELESS/KIF11/NME1/PARP1/BUB1/DNMT1/CDKN3/BRCA1/SOX2/ORC1/CDCA8/ANLN/KIFC1/CDCA7/CHEK1/BUB1B/CCNF/CHEK2/ANKRD22/KIF23/NDC80/MCM4/MAPK13/MKI67/UBE2C/SSRP1/TPX2/ENO1/MYBL2/MYB/EXO1/SMC2/GAPDH/MCM2/CEACAM1/TRIB2/CIT/CDC6/HMMR/MCM6/WDR76/MTHFD1/NUP37/DNAJC9/MCM3/PLK4/BLM/TMPO/HNRNPM/PBK/RRM2/MCM7/MAD2L1/CDC45/MELK/CENPA/CCNE1/UBE2S/NCAPH/RALB/POLA1/MSH2/HNRNPAB/SCD/LAMP3/BRCA2/ESPL1/CCNA2/NUF2/CENPE/DUSP6/RFC2/LMNB1/ECT2/ILF3/RRM1/WDHD1/HNRNPF/TAF5/RAD51C/CBX5/RFC4/ASPM/SDC1/RACGAP1/NUP205/CDC25A/CSTF2/MLKL/SMC3/HMGB2/E2F1/SMC6/DCTPP1/NT5E/ACSL5/NCAPG/CKS1B/CEP55/CHAF1B/UBASH3B/KIF15/EIF5A/XRCC3/TONSL/STMN3/POLR3K/EXOSC9/BARD1/CDC7/TTK/KIF18B/CENPO/EME1/ATAD2/LIG1/SNRNP40/DHRS13/PKMYT1/CDC25C/TCF19/SAP30/DHCR24/MCM10/TYMS/CENPF/TOPBP1/PASK/MDC1/PPARG/CEP128/POLE/FANCE/SMC4/SUV39H1/DLGAP5/FANCA/CDT1/CDC25B/STIL/E2F2/ESCO2/GTSE1/LBR/INSIG1/CCND1/GINS2/DTL/RAPGEF5/STAMBPL1/KIF2C/TUBG1/BRIP1/KIF4A/ARHGAP19/FOXA1/MNS1/F12"
"FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN","FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN",437,0.678558799565996,1.74380058893985,2.57721366446957e-15,1.63189169234213e-12,1.08677030945949e-12,2285,"tags=30%, list=13%, signal=27%","OASL/HSPA5/IFIT1/IFIT5/IFIT3/RIGI/IFIT2/MX1/IFIH1/SIGLEC1/XAF1/TGFBR2/RNF213/IFI27/UBE2L6/LGALS3BP/IFI16/ALDH1A1/TRIM14/CD163/LCP2/GAS7/MYD88/DHX58/SP100/IFI44/USP18/SAMD9L/IFI44L/SAMD9/MX2/SPTLC2/IFITM1/CD4/DIP2A/DUSP1/CALCOCO2/PDIA4/GAS6/PATL1/CYP3A4/NR3C1/CYP51A1/MACROH2A1/BCL6/RAD23B/KLF6/HLA-DMB/SCARB2/H2BC12L/PDIA6/TRIM5/TRIM22/SGK1/TLR8/PLEKHA2/KLF4/XRN1/SIRT1/DDX59/PRKACB/C2/ALMS1/CSF3R/SAMD4A/ABCC5/HERC5/GNB4/TRIM38/HESX1/H2BC5/KLF5/STOM/MARCO/ISG20/LYN/RB1/RAB42/GIMAP5/SP110/PDGFRL/CFB/HEG1/CD84/MAX/GPNMB/CREBRF/RSAD2/PIK3AP1/ADA/KLF3/AK2/SNX2/CD2AP/APOL3/GCH1/VAMP5/ARID5B/BLVRA/NBN/SPN/SETX/CCR5/C3AR1/FCHO2/MBP/ATP2B1/CMPK2/AIF1/SERPING1/MAFB/LY9/PLIN2/RPAIN/FGL2/SH3PXD2A/GNS/RBM47/PRICKLE1/ZEB2/PINK1/ZFP36L2/QKI/OAS3/WWP1/SLC26A11/CKMT1B/KAT6B/DBT/TMT1A/SORT1"
